sample	R1	R2	score
Buster	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/23022022_Arbor_RenSeq/7638-JK-6_058_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/23022022_Arbor_RenSeq/7638-JK-6_058_S1_L005_R2_001.fastq.gz	1
Olympus_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_040_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_040_S1_L005_R2_001.fastq.gz	1
Midas_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_037_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_037_S1_L005_R2_001.fastq.gz	1
Saturna_tp50_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_20_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_20_S1_L005_R2_001.fastq.gz	-1
Lorimer_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_044_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_044_S1_L005_R2_001.fastq.gz	1
Saturna_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_47_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_47_S1_L005_R2_001.fastq.gz	-1
Rocket_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_041_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_041_S1_L005_R2_001.fastq.gz	1
Paladin_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_042_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_042_S1_L005_R2_001.fastq.gz	1
Strachan_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_045_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_045_S1_L005_R2_001.fastq.gz	1
Cammeo	/mnt/shared/projects/jhi/potato/201703_RenSeq/RawData/Cammeo_S4_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201703_RenSeq/RawData/Cammeo_S4_L001_R2_001.fastq.gz	-1
LaStrada	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_23_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_23_S1_L005_R2_001.fastq.gz	-1
Osprey_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_35_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_35_S1_L005_R2_001.fastq.gz	-1
